drug_id	group_name_en	group_name_fr	related_drug_id	tier	structural_relation	rationale_en	rationale_fr	source_ids	panel_drug_ids	panel_rationale_en	panel_rationale_fr
atracurium	Neuromuscular Blocking Agents	Curares	rocuronium	lower-expected	structurally-distinct	Different structural class (aminosteroid vs benzylisoquinoline). Shared quaternary ammonium epitope but lower cross-reactivity expected due to distinct backbone.	Classe structurelle differente (aminosteroide vs benzylisoquinoline). Epitope ammonium quaternaire partage mais reactivite croisee plus faible attendue en raison du squelette distinct.	sfar-sfa-2025-annex-4	rocuronium; vecuronium; pancuronium; cisatracurium; mivacurium; succinylcholine	When an NMBA is the suspected culprit, consider evaluating all available NMBAs to identify agents with lower expected cross-reactivity for future procedures.	Lorsqu'un curare est le culprit suspecte, envisager d'evaluer tous les curares disponibles pour identifier les agents avec une reactivite croisee attendue plus faible pour les procedures futures.
atracurium	Neuromuscular Blocking Agents	Curares	vecuronium	lower-expected	structurally-distinct	Different structural class (aminosteroid vs benzylisoquinoline). Shared quaternary ammonium epitope but lower cross-reactivity expected due to distinct backbone.	Classe structurelle differente (aminosteroide vs benzylisoquinoline). Epitope ammonium quaternaire partage mais reactivite croisee plus faible attendue en raison du squelette distinct.	sfar-sfa-2025-annex-4			
atracurium	Neuromuscular Blocking Agents	Curares	pancuronium	lower-expected	structurally-distinct	Different structural class (aminosteroid vs benzylisoquinoline). Shared quaternary ammonium epitope but lower cross-reactivity expected due to distinct backbone.	Classe structurelle differente (aminosteroide vs benzylisoquinoline). Epitope ammonium quaternaire partage mais reactivite croisee plus faible attendue en raison du squelette distinct.	sfar-sfa-2025-annex-4			
atracurium	Neuromuscular Blocking Agents	Curares	cisatracurium	higher-concern	structurally-related	Cisatracurium is the R-cis isomer of atracurium; near-identical molecular structure with shared quaternary ammonium groups.	Le cisatracurium est l'isomere R-cis de l'atracurium; structure moleculaire quasi identique avec groupes ammonium quaternaire partages.	sfar-sfa-2025-annex-4			
atracurium	Neuromuscular Blocking Agents	Curares	mivacurium	higher-concern	structurally-related	Same benzylisoquinoline class sharing quaternary ammonium epitopes targeted by IgE in NMBA hypersensitivity.	Meme classe benzylisoquinoline partageant les epitopes ammonium quaternaire cibles par les IgE dans l'hypersensibilite aux curares.	sfar-sfa-2025-annex-4			
atracurium	Neuromuscular Blocking Agents	Curares	succinylcholine	lower-expected	structurally-distinct	Depolarizing agent structurally distinct from benzylisoquinolines. Shared quaternary ammonium epitope but different backbone.	Agent depolarisant structurellement distinct des benzylisoquinolines. Epitope ammonium quaternaire partage mais squelette different.	sfar-sfa-2025-annex-4			
cisatracurium	Neuromuscular Blocking Agents	Curares	rocuronium	lower-expected	structurally-distinct	Different structural class (aminosteroid vs benzylisoquinoline). Shared quaternary ammonium epitope but lower cross-reactivity expected due to distinct backbone.	Classe structurelle differente (aminosteroide vs benzylisoquinoline). Epitope ammonium quaternaire partage mais reactivite croisee plus faible attendue en raison du squelette distinct.	sfar-sfa-2025-annex-4	rocuronium; vecuronium; pancuronium; atracurium; mivacurium; succinylcholine	When an NMBA is the suspected culprit, consider evaluating all available NMBAs to identify agents with lower expected cross-reactivity for future procedures.	Lorsqu'un curare est le culprit suspecte, envisager d'evaluer tous les curares disponibles pour identifier les agents avec une reactivite croisee attendue plus faible pour les procedures futures.
cisatracurium	Neuromuscular Blocking Agents	Curares	vecuronium	lower-expected	structurally-distinct	Different structural class (aminosteroid vs benzylisoquinoline). Shared quaternary ammonium epitope but lower cross-reactivity expected due to distinct backbone.	Classe structurelle differente (aminosteroide vs benzylisoquinoline). Epitope ammonium quaternaire partage mais reactivite croisee plus faible attendue en raison du squelette distinct.	sfar-sfa-2025-annex-4			
cisatracurium	Neuromuscular Blocking Agents	Curares	pancuronium	lower-expected	structurally-distinct	Different structural class (aminosteroid vs benzylisoquinoline). Shared quaternary ammonium epitope but lower cross-reactivity expected due to distinct backbone.	Classe structurelle differente (aminosteroide vs benzylisoquinoline). Epitope ammonium quaternaire partage mais reactivite croisee plus faible attendue en raison du squelette distinct.	sfar-sfa-2025-annex-4			
cisatracurium	Neuromuscular Blocking Agents	Curares	atracurium	higher-concern	structurally-related	Cisatracurium is the R-cis isomer of atracurium; near-identical molecular structure with shared quaternary ammonium groups.	Le cisatracurium est l'isomere R-cis de l'atracurium; structure moleculaire quasi identique avec groupes ammonium quaternaire partages.	sfar-sfa-2025-annex-4			
